Location,Size (sqft),Bedrooms,Bathrooms,Property Type,Year Built,Condition,Nearby Amenities,Crime Rate,Market Demand Index,Price (USD)
Los Angeles,4197,4,5,Villa,1983,Needs Renovation,3,4.46,27.28,2960824
Los Angeles,3659,2,4,Townhouse,1953,New,10,7.46,31.69,2370350
Fresno,4785,3,1,Townhouse,2008,Needs Renovation,9,8.27,3.82,4314142
Bakersfield,4414,2,2,Apartment,1998,New,4,5.41,61.88,3635038
Los Angeles,3550,2,3,Apartment,1972,Good,6,9.74,70.02,276366
San Francisco,1148,3,1,Villa,1967,Needs Renovation,5,5.04,95.29,3040343
San Diego,2394,2,2,Condo,2021,New,5,1.31,3.74,175898
Los Angeles,1728,2,4,Independent House,1970,Good,5,9.1,16.97,2040319
Sacramento,2073,2,4,Condo,1988,New,3,9.04,41.15,1847757
Sacramento,964,6,4,Apartment,1963,Good,9,8.93,74.06,4873985
Long Beach,2453,5,3,Villa,1986,New,6,5.48,60.13,3671712
Long Beach,4035,6,1,Independent House,2008,New,2,3.12,3.36,3096693
Bakersfield,689,6,1,Townhouse,1957,Needs Renovation,6,4.13,67.62,2685902
Bakersfield,703,4,2,Apartment,2015,Good,10,5.69,23.07,3197654
San Jose,2183,1,5,Apartment,1952,New,9,1.8,36.81,3792980
San Jose,2676,3,5,Townhouse,1986,Needs Renovation,2,5.12,67.38,3239596
San Jose,2122,1,5,Townhouse,1954,Good,6,7.21,84.76,3677653
Los Angeles,4446,4,5,Condo,1979,New,8,1.65,58.3,3454891
Long Beach,3239,2,5,Condo,2015,Recently Renovated,9,4.82,35.02,3627993
Sacramento,4307,3,2,Condo,2020,New,4,5.87,84.19,1132809
San Jose,4026,3,5,Villa,1966,Good,2,5.08,16.51,3636216
Sacramento,3321,5,4,Villa,1990,Recently Renovated,9,8.91,65.53,4798725
Los Angeles,2041,3,4,Villa,2001,Needs Renovation,10,3.24,94.77,3125538
Oakland,2396,6,4,Townhouse,1984,Needs Renovation,5,9.34,61.76,855997
Los Angeles,3174,2,1,Townhouse,1984,Needs Renovation,9,9.29,79.62,173967
Long Beach,2493,6,1,Condo,2005,Needs Renovation,2,7.35,76.97,1459832
Anaheim,1723,1,5,Villa,1964,Recently Renovated,10,9.38,17.36,2397722
Los Angeles,3186,2,4,Villa,1959,Needs Renovation,6,1.58,50.31,2018303
Los Angeles,1883,4,4,Independent House,1956,New,2,6.06,99.89,1554196
San Jose,2876,3,1,Apartment,1954,Recently Renovated,5,7.31,22.41,1177110
San Francisco,3024,3,4,Independent House,2001,Needs Renovation,10,2.4,87.52,1821275
Oakland,1382,2,4,Condo,2000,Recently Renovated,8,1.14,9.71,1346468
Bakersfield,2652,2,2,Townhouse,2018,Recently Renovated,3,5.46,96.52,352476
Sacramento,1142,4,2,Condo,1987,New,1,4.12,51.65,1541142
Los Angeles,4872,6,1,Townhouse,1970,Good,10,3.2,49.63,1158265
Anaheim,2902,6,5,Independent House,1975,Good,8,6.52,35.62,632412
Long Beach,1082,6,4,Independent House,2001,Good,10,7.57,15.04,1989484
Los Angeles,3226,3,5,Townhouse,1985,Needs Renovation,7,4.46,30.22,4021093
Anaheim,1941,1,1,Condo,2001,Needs Renovation,5,2.15,3.15,3854985
Fresno,3977,3,5,Villa,1965,Needs Renovation,2,8.46,57.42,1508936
Bakersfield,1227,2,5,Apartment,1989,Recently Renovated,8,3.81,3.42,746596
Sacramento,4971,4,2,Villa,1982,Needs Renovation,5,8.24,92.98,4475772
Los Angeles,1131,3,5,Condo,1979,Needs Renovation,4,4.4,63.48,2641421
Oakland,1048,5,4,Condo,2004,Needs Renovation,1,6.29,91.18,3108584
Bakersfield,1687,5,1,Villa,2012,Needs Renovation,10,4.58,14.12,4070602
Fresno,845,5,4,Independent House,1988,Good,1,2.37,79.03,692618
San Diego,4241,3,5,Townhouse,1973,Good,8,6.85,22.41,2976713
Los Angeles,4176,1,2,Independent House,2011,Recently Renovated,10,8.42,89.78,3998905
Los Angeles,3605,3,4,Condo,1951,Good,3,1.27,12.73,3379357
Fresno,885,6,4,Condo,1998,Good,4,4.25,97.61,615764
Anaheim,3233,5,3,Independent House,1973,Good,6,7.13,29.88,844463
Oakland,2532,2,1,Condo,2010,Needs Renovation,6,7.01,8.87,968364
Bakersfield,3351,5,5,Condo,2005,New,2,7.22,79.91,3792283
Sacramento,1981,1,2,Condo,1975,New,9,8.98,72.78,3573469
Fresno,1838,6,5,Condo,1989,Good,1,6.56,39.27,2157948
Sacramento,2974,3,2,Independent House,1981,New,10,1.67,69.14,1809954
San Diego,4400,3,4,Apartment,1982,Good,4,8.14,47.83,2916130
Fresno,2343,1,2,Condo,1956,Needs Renovation,6,8.54,57.84,1901801
Anaheim,1747,6,2,Independent House,2006,Needs Renovation,9,4.52,53.98,725996
San Jose,4849,4,2,Independent House,1979,Needs Renovation,3,3.26,30.8,2946903
Anaheim,2626,4,4,Townhouse,1987,Recently Renovated,10,4.8,36.21,3454574
San Francisco,882,1,2,Independent House,1987,Needs Renovation,9,4.72,50.78,1999707
Sacramento,4056,1,4,Townhouse,2017,Recently Renovated,1,9.31,93.04,4202123
Oakland,4486,2,3,Townhouse,2021,New,2,6.16,52.71,2179890
Sacramento,2764,4,3,Apartment,2010,Good,2,3.97,40.73,4517496
Bakersfield,4570,1,1,Independent House,1999,Recently Renovated,7,4.83,42.08,3532065
Oakland,1459,1,5,Condo,1985,Needs Renovation,9,5.21,77.46,3345466
Sacramento,4074,5,4,Villa,2014,Recently Renovated,5,2.37,98.0,1753339
San Jose,2248,3,5,Condo,1954,Needs Renovation,4,2.94,4.8,2659069
San Jose,773,5,4,Townhouse,2007,Recently Renovated,1,4.76,28.3,499141
Fresno,3593,4,1,Apartment,2013,New,8,3.66,99.1,3519148
San Francisco,4381,1,2,Villa,1979,Good,6,1.68,1.72,1939989
Los Angeles,2780,6,3,Independent House,2003,Good,5,4.97,48.44,646285
Oakland,2972,1,4,Condo,1977,New,6,3.73,84.96,4263705
Oakland,897,4,4,Condo,2019,Good,10,2.68,65.43,1702693
San Diego,3132,4,3,Townhouse,2004,Good,7,7.07,96.73,3360590
San Diego,954,5,1,Townhouse,1990,Good,2,7.23,7.0,929846
Fresno,4053,4,5,Villa,2003,Needs Renovation,2,1.81,58.58,501158
Fresno,3014,5,1,Apartment,1956,Good,4,5.36,42.76,1073367
Sacramento,566,4,5,Independent House,2008,Needs Renovation,10,5.15,78.15,3287252
Los Angeles,2474,6,4,Independent House,2021,Good,7,9.33,73.9,130997
Fresno,3248,6,4,Independent House,2016,Good,9,7.39,36.81,2393931
San Francisco,1410,6,1,Townhouse,1992,Recently Renovated,6,5.36,47.07,4002277
Sacramento,689,2,5,Townhouse,2005,Needs Renovation,8,8.62,37.11,3012977
San Francisco,692,4,1,Villa,1981,Needs Renovation,4,7.32,32.55,2785249
Oakland,1671,1,4,Independent House,1995,Recently Renovated,3,6.26,38.98,4003158
Sacramento,1809,2,5,Condo,1978,Needs Renovation,2,5.44,72.65,761890
Bakersfield,3989,3,4,Townhouse,1993,Recently Renovated,2,9.77,56.88,4277884
Long Beach,2053,2,5,Independent House,2017,Needs Renovation,9,6.26,94.06,4558300
Fresno,1790,3,2,Apartment,1956,Good,1,9.81,71.25,514271
San Diego,3483,3,1,Townhouse,2004,New,5,7.62,92.4,620147
Oakland,1564,5,4,Condo,1960,New,9,8.52,21.47,3203524
San Diego,2576,2,5,Independent House,1972,Good,6,2.1,34.42,1233975
Long Beach,2488,1,3,Independent House,2014,Good,10,4.28,81.29,3746378
San Diego,3576,3,3,Apartment,1979,Needs Renovation,8,4.27,24.31,4182047
San Diego,1755,4,2,Apartment,1965,Recently Renovated,4,2.77,66.32,1611667
Anaheim,1024,4,3,Condo,1964,Needs Renovation,2,4.82,52.31,3122089
Sacramento,1123,4,2,Apartment,2005,New,7,2.62,58.36,558750
Los Angeles,4488,5,3,Apartment,1984,Recently Renovated,9,5.99,88.44,1346133
Oakland,3964,6,5,Independent House,1968,Good,3,6.3,39.74,969169
Long Beach,1232,1,5,Apartment,1968,Good,3,6.64,90.9,4036160
Fresno,699,6,3,Villa,1988,New,9,2.83,21.33,1450405
Los Angeles,4522,1,5,Apartment,2023,Recently Renovated,4,3.44,76.51,1831855
Anaheim,784,6,1,Independent House,1986,Recently Renovated,2,8.01,10.82,3201021
Bakersfield,4187,5,4,Independent House,1995,Good,6,5.85,81.72,791976
Anaheim,1033,2,4,Villa,1982,Good,9,1.43,59.92,2545728
Los Angeles,3357,4,5,Condo,1959,Recently Renovated,7,8.99,75.59,3533552
Anaheim,3104,5,2,Apartment,2005,Recently Renovated,7,4.04,24.6,4870063
San Jose,4276,5,4,Apartment,1962,Needs Renovation,4,9.5,12.53,657668
Sacramento,4400,1,4,Apartment,1976,Recently Renovated,1,8.83,20.85,311009
Sacramento,3426,4,4,Townhouse,2004,Good,9,5.65,71.12,950216
Long Beach,3189,6,3,Townhouse,1961,Good,9,6.67,59.68,4384958
Sacramento,3405,3,1,Apartment,1957,Needs Renovation,1,1.38,21.23,4763307
San Diego,3077,2,1,Townhouse,1981,Needs Renovation,3,9.98,28.95,3611716
Long Beach,556,4,1,Villa,2008,Needs Renovation,9,6.15,38.06,1017236
San Diego,2297,1,3,Condo,2007,Good,9,6.14,89.77,4794858
San Jose,4008,4,2,Townhouse,2001,Good,1,8.95,14.14,2086429
San Jose,3609,1,1,Condo,1971,Recently Renovated,10,3.36,23.3,505908
Fresno,3678,1,5,Independent House,1956,Good,8,9.61,26.09,3273156
San Diego,1364,4,1,Condo,1958,New,3,9.97,4.37,4754274
Sacramento,4457,3,2,Independent House,2018,Good,10,4.42,3.4,775950
Fresno,3814,3,1,Apartment,1988,Needs Renovation,6,2.09,3.32,3070280
Fresno,1721,1,4,Apartment,1967,New,5,8.98,23.03,553524
San Jose,506,4,2,Condo,2023,New,1,2.34,88.67,3482723
San Jose,1230,4,4,Independent House,2016,Good,1,4.79,30.47,3312421
San Diego,3762,5,2,Apartment,1969,Recently Renovated,8,7.81,51.98,4320902
San Jose,762,5,2,Apartment,1996,New,9,7.25,92.48,4998288
San Diego,4869,2,3,Condo,1989,Good,7,2.44,48.19,4061497
Los Angeles,3500,1,3,Independent House,1981,Recently Renovated,9,5.08,44.81,4552978
Anaheim,2835,6,3,Villa,1961,Good,4,1.91,95.69,3810435
San Jose,1580,5,2,Villa,1972,Needs Renovation,3,6.65,6.66,1542946
Sacramento,2166,3,4,Apartment,1993,Needs Renovation,1,8.14,15.96,3045593
Long Beach,3726,5,2,Condo,1986,New,4,5.41,53.88,4041180
San Francisco,2320,6,3,Townhouse,1985,Good,10,7.9,28.54,634874
Fresno,2637,4,2,Apartment,1952,Good,10,4.6,93.73,2031324
Oakland,4578,2,2,Condo,2004,Good,1,9.47,1.66,1285592
Los Angeles,2083,4,4,Townhouse,2005,Recently Renovated,9,4.36,55.93,2459863
San Francisco,4435,1,3,Condo,1965,Good,10,2.15,97.22,4448025
San Francisco,2266,5,2,Apartment,1974,Recently Renovated,7,4.06,83.61,746039
Oakland,4496,6,1,Condo,1965,Recently Renovated,6,4.73,42.87,2664670
Fresno,567,5,4,Townhouse,1956,Needs Renovation,3,6.64,34.48,2451379
Anaheim,3421,6,1,Condo,1963,Recently Renovated,8,1.56,68.39,1781692
Anaheim,1768,4,1,Independent House,1968,Recently Renovated,5,5.9,84.2,1497659
San Jose,4808,5,3,Apartment,1997,New,9,7.98,73.56,4163605
Fresno,3893,2,3,Apartment,1985,Recently Renovated,3,7.85,94.6,2923410
San Francisco,3034,1,2,Villa,1996,New,1,7.87,29.71,1033565
Long Beach,1769,4,1,Independent House,1960,New,7,2.84,58.49,2293382
Fresno,2859,4,1,Villa,1991,Good,1,4.34,84.38,205632
Bakersfield,4347,1,1,Villa,2005,Needs Renovation,10,5.4,66.76,2662875
Bakersfield,4391,6,4,Independent House,1987,Good,5,2.94,43.91,3515373
Anaheim,816,2,1,Independent House,1996,Good,4,1.84,74.49,4303485
San Diego,738,6,2,Villa,1960,Good,7,9.86,81.89,3105900
San Jose,3551,5,1,Villa,1970,New,4,6.02,3.15,2301717
Sacramento,2058,1,5,Condo,1986,Recently Renovated,10,5.0,98.3,1993723
Fresno,1106,4,4,Apartment,1996,Needs Renovation,1,4.74,16.26,3229081
Oakland,2063,5,2,Townhouse,1972,Recently Renovated,3,5.62,53.24,4804972
Oakland,1166,4,3,Independent House,2003,New,9,9.03,83.99,3049595
San Jose,1292,2,2,Independent House,2000,Good,1,6.65,25.91,135933
Sacramento,4676,2,5,Condo,2015,New,6,9.25,62.41,1840550
Bakersfield,1729,5,2,Villa,2021,New,9,9.63,52.07,4169130
Sacramento,1215,2,1,Apartment,1976,New,8,6.06,67.91,1394098
Anaheim,3900,4,1,Apartment,1988,New,9,3.28,31.5,3315828
San Jose,555,3,5,Condo,1956,Needs Renovation,6,2.17,19.77,2936650
Los Angeles,3964,3,2,Apartment,1964,Needs Renovation,5,1.56,92.36,206884
Oakland,2095,2,1,Villa,1977,Needs Renovation,10,5.68,69.83,883140
Bakersfield,1917,2,2,Apartment,1958,Needs Renovation,5,8.63,15.88,1490325
San Francisco,2091,6,4,Condo,2016,Good,2,8.61,9.39,1890419
San Jose,3044,2,5,Apartment,1961,Good,8,3.43,33.11,1228374
San Diego,4429,3,4,Townhouse,2022,Good,2,7.2,73.15,599559
Sacramento,3824,4,2,Villa,1978,Recently Renovated,9,8.78,5.11,2382227
Bakersfield,4728,5,4,Condo,2004,Recently Renovated,1,6.83,89.27,4949354
Bakersfield,3449,6,4,Townhouse,1968,Recently Renovated,8,8.12,66.88,987650
Sacramento,3246,3,2,Condo,1976,Good,5,2.51,48.88,1127946
Sacramento,4690,5,1,Townhouse,2001,Needs Renovation,5,9.69,45.56,779654
Anaheim,4901,1,1,Apartment,1999,Good,10,7.7,75.8,2385964
Los Angeles,1802,6,2,Villa,1959,New,1,9.19,43.7,2613078
Bakersfield,4436,5,1,Townhouse,1979,Needs Renovation,5,9.41,82.74,2224208
San Jose,1461,4,3,Townhouse,2005,Good,6,8.71,63.73,4311228
Anaheim,938,5,5,Villa,1978,Recently Renovated,4,9.5,37.34,1473218
Los Angeles,2168,1,4,Condo,2016,Needs Renovation,4,9.38,42.63,3462807
San Diego,1200,3,2,Townhouse,2000,Needs Renovation,4,2.46,42.3,510759
San Francisco,2781,2,1,Condo,2023,Needs Renovation,5,8.96,52.99,1049530
San Francisco,4168,6,5,Townhouse,1970,Good,1,7.51,57.71,1872477
Oakland,3863,1,5,Condo,2000,Needs Renovation,4,9.35,78.62,3636418
San Francisco,2922,3,5,Independent House,2005,Needs Renovation,1,3.54,9.0,2986399
San Jose,2961,1,1,Villa,2012,Good,5,2.43,49.24,4062685
Los Angeles,4463,3,1,Condo,1962,Recently Renovated,7,4.29,44.94,420389
San Francisco,3497,3,1,Villa,1956,Needs Renovation,4,8.97,73.88,1903176
Oakland,4485,6,4,Townhouse,1996,Needs Renovation,6,6.05,22.43,2754287
Sacramento,2859,4,4,Villa,2005,Needs Renovation,4,8.8,11.78,1965498
Fresno,3121,6,3,Villa,1967,Needs Renovation,8,5.25,61.19,831032
Oakland,1296,2,5,Townhouse,2018,Good,10,8.42,23.91,2277821
San Francisco,1232,4,4,Condo,1982,Needs Renovation,4,2.73,88.51,3588908
San Francisco,540,1,2,Villa,2008,Good,9,5.2,81.96,389463
San Diego,529,5,5,Villa,1961,New,3,7.52,83.38,3584673
San Francisco,4293,5,3,Condo,2021,Recently Renovated,8,3.84,58.13,111041
Long Beach,4689,6,4,Townhouse,1958,Good,10,8.24,92.81,3835728
Fresno,1388,3,3,Villa,1977,New,4,7.8,33.7,2190736
Anaheim,4599,1,2,Apartment,2009,New,1,7.72,51.16,3022462
Los Angeles,4809,1,1,Apartment,2022,Good,8,4.19,79.86,1021835
San Francisco,736,5,5,Apartment,2007,Needs Renovation,5,7.74,38.94,3972562
Fresno,4772,6,5,Apartment,1964,Recently Renovated,9,8.44,71.31,640190
Los Angeles,1728,1,1,Independent House,2012,Needs Renovation,3,6.29,32.48,3450758
Oakland,4961,6,5,Apartment,1989,Recently Renovated,6,9.92,32.79,3970501
San Francisco,4237,3,2,Condo,1952,New,9,1.02,48.64,2155397
Bakersfield,614,2,3,Villa,1956,New,3,2.43,94.29,299420
San Francisco,1931,3,2,Villa,1980,Recently Renovated,5,9.74,96.59,1311138
Sacramento,3571,5,5,Independent House,2020,Needs Renovation,2,1.32,24.98,4060358
San Jose,2895,4,4,Villa,1950,New,3,2.8,44.99,2936111
San Francisco,3248,4,2,Condo,1962,Recently Renovated,8,8.5,15.56,3750598
Bakersfield,2359,4,4,Independent House,2007,Recently Renovated,7,9.12,76.01,1399314
Long Beach,3977,6,3,Townhouse,2005,Good,9,8.54,43.6,1040960
San Francisco,1377,4,2,Condo,1975,Recently Renovated,8,1.75,87.2,1769170
Long Beach,1267,6,3,Condo,1953,Recently Renovated,4,1.6,32.29,4048278
San Francisco,4625,2,4,Townhouse,2001,Recently Renovated,2,7.8,6.7,1441781
San Diego,3791,2,4,Condo,1982,Recently Renovated,8,3.05,57.75,4804541
Oakland,3571,2,4,Villa,1992,Recently Renovated,3,6.83,4.45,4978711
Long Beach,3316,2,5,Independent House,1983,Needs Renovation,4,6.74,68.92,2839579
Oakland,3124,5,5,Villa,1994,Needs Renovation,10,2.84,85.1,1308511
Fresno,3722,4,1,Condo,1957,Recently Renovated,9,4.05,34.18,1370298
Sacramento,702,3,1,Apartment,2010,Recently Renovated,10,5.79,45.0,4884139
Long Beach,839,1,4,Condo,1951,Recently Renovated,1,1.42,34.99,823317
Anaheim,3363,5,4,Condo,2020,Good,8,3.26,6.78,3197755
Anaheim,1918,2,4,Condo,1985,Needs Renovation,10,8.71,75.51,4942984
San Jose,1517,1,3,Apartment,2002,New,2,6.48,11.33,4297453
San Diego,4773,2,2,Condo,1962,New,2,8.34,14.77,2400415
Los Angeles,3271,4,1,Townhouse,2016,Needs Renovation,6,4.88,39.12,3904500
Fresno,1724,1,3,Apartment,1974,Needs Renovation,1,5.81,86.13,2931937
Anaheim,3447,5,3,Apartment,1972,Needs Renovation,6,8.16,37.37,4365322
Oakland,2875,4,5,Apartment,1968,Good,4,7.65,35.02,4053849
Los Angeles,1146,5,2,Independent House,2010,Good,8,3.52,55.3,2315422
Bakersfield,4703,1,1,Villa,1976,Good,4,6.64,17.21,587517
San Francisco,1327,6,5,Villa,1964,Good,6,3.85,44.35,4184673
San Jose,2095,6,1,Villa,2011,Recently Renovated,5,3.4,21.76,4285781
Sacramento,3684,4,1,Apartment,1980,Recently Renovated,10,5.01,79.83,932923
San Jose,2885,3,3,Condo,2001,New,5,8.92,34.34,539696
Sacramento,4955,1,4,Villa,1958,Good,2,3.93,53.57,253761
Oakland,2451,6,2,Townhouse,2000,Recently Renovated,3,8.49,57.07,1878183
San Francisco,936,6,4,Townhouse,2016,Needs Renovation,4,2.36,10.92,1336736
Los Angeles,3741,6,3,Independent House,1978,Good,5,3.07,58.34,661847
Long Beach,1684,5,4,Condo,1971,Needs Renovation,4,2.81,66.26,4132791
Bakersfield,4759,3,3,Townhouse,1952,New,8,7.95,91.32,202835
Sacramento,4833,1,4,Condo,2019,Recently Renovated,10,6.25,65.63,1086903
Los Angeles,4776,4,5,Villa,1989,Recently Renovated,9,1.19,1.88,4836237
Anaheim,3247,3,4,Condo,2013,Good,7,3.1,84.11,1844064
Long Beach,4287,6,4,Townhouse,2007,New,2,3.61,23.41,1652688
Fresno,1097,1,2,Independent House,2020,New,5,4.11,89.7,2789992
San Francisco,3177,6,4,Villa,1986,Needs Renovation,5,1.09,37.79,2880863
San Diego,4018,6,4,Villa,1972,New,5,6.97,57.32,4653712
San Francisco,4411,3,4,Condo,2010,New,10,7.97,13.91,1376378
Oakland,3042,2,2,Independent House,1973,Good,2,1.85,50.92,1015287
Oakland,2383,4,2,Independent House,1991,New,6,8.09,99.19,2536023
Fresno,2909,2,5,Independent House,2010,Needs Renovation,5,6.6,24.49,1391409
Oakland,1502,4,3,Townhouse,2016,Needs Renovation,4,6.59,14.41,2402956
San Diego,2720,3,1,Townhouse,1991,Needs Renovation,6,6.18,44.23,4643164
Oakland,4910,2,4,Condo,2023,New,1,5.97,48.67,2467586
San Diego,4477,4,4,Apartment,1979,Recently Renovated,10,4.86,35.99,4288077
San Jose,2900,1,4,Villa,2003,New,2,1.48,29.48,1542450
San Diego,1222,1,5,Townhouse,2007,Good,9,6.66,45.95,3006382
Fresno,3331,2,4,Villa,1980,Good,7,3.83,76.89,4374458
Sacramento,579,1,4,Independent House,1982,Recently Renovated,5,7.37,74.8,2874183
Anaheim,3724,1,5,Villa,1983,Needs Renovation,7,4.82,14.61,2821711
Oakland,2744,4,1,Independent House,1989,New,10,2.93,34.42,2571450
San Diego,2157,1,5,Townhouse,1993,New,3,3.75,93.28,3393116
San Francisco,3339,4,5,Independent House,1966,Recently Renovated,5,6.22,81.07,4684745
San Diego,4470,6,3,Condo,2004,Good,6,2.46,34.5,2631571
Bakersfield,4403,2,1,Independent House,1980,Needs Renovation,5,6.07,4.4,2156130
Anaheim,2197,2,3,Villa,1981,Good,1,7.46,75.47,932679
San Jose,3859,2,4,Villa,1973,Needs Renovation,9,5.95,69.59,264261
Anaheim,2277,5,1,Apartment,2022,Recently Renovated,4,4.06,55.21,209917
Los Angeles,798,1,3,Independent House,1983,Needs Renovation,10,9.63,88.54,3149465
Fresno,3620,6,1,Condo,1977,Recently Renovated,5,8.58,21.13,2752514
Sacramento,3153,4,5,Independent House,1980,Needs Renovation,2,2.96,66.57,2511291
Anaheim,2486,4,1,Apartment,1956,Recently Renovated,2,3.13,91.68,552672
Oakland,3628,3,3,Condo,1985,New,6,9.5,9.34,4765439
Anaheim,1228,5,1,Villa,1960,Needs Renovation,10,6.4,51.4,921430
San Jose,4758,1,2,Townhouse,2000,Good,9,4.34,17.13,460806
San Jose,2791,1,2,Townhouse,1990,Needs Renovation,6,4.5,49.85,3310804
San Diego,4438,1,4,Condo,1997,New,1,3.69,8.86,1113618
Bakersfield,3938,6,4,Apartment,1956,Recently Renovated,10,5.01,67.45,1001264
Oakland,4964,4,5,Townhouse,1973,Good,6,4.19,9.62,2882569
Fresno,727,1,3,Independent House,1997,Recently Renovated,10,9.8,48.91,2981054
San Francisco,2812,3,1,Condo,1980,Good,4,4.82,53.17,4467355
Anaheim,4941,1,4,Villa,1964,Needs Renovation,9,1.34,17.34,3361820
Sacramento,2456,6,1,Townhouse,1982,Recently Renovated,3,4.3,72.79,4614681
Anaheim,4534,5,5,Townhouse,2021,Recently Renovated,10,1.04,57.82,1025473
Bakersfield,4482,6,2,Townhouse,2012,Recently Renovated,9,5.95,69.12,3909786
Sacramento,4153,2,2,Independent House,2008,Good,8,3.56,64.1,3056539
Los Angeles,4862,2,1,Condo,2006,Needs Renovation,8,5.42,9.84,3661845
Fresno,1455,1,3,Townhouse,2017,Needs Renovation,1,1.14,75.31,1092002
Sacramento,2697,2,5,Condo,1988,New,1,3.42,8.63,4193124
Bakersfield,2687,2,1,Apartment,2007,Recently Renovated,3,2.85,3.96,4101655
Long Beach,998,2,2,Townhouse,1957,Needs Renovation,8,4.41,88.16,2760243
Bakersfield,2055,6,2,Townhouse,2021,Good,10,6.3,72.29,4733922
Oakland,895,1,3,Villa,1983,Recently Renovated,10,6.12,69.14,1819087
Oakland,1633,4,5,Townhouse,1995,New,2,3.99,83.24,3498575
San Francisco,2812,1,3,Townhouse,1978,Recently Renovated,9,4.46,78.84,2542921
San Francisco,4207,2,2,Condo,1960,New,1,1.6,39.85,3033236
San Diego,2439,5,2,Villa,1999,New,9,8.07,5.93,1671144
Sacramento,1562,5,4,Condo,2016,Good,5,9.75,83.84,718932
Fresno,4301,5,5,Independent House,1964,Recently Renovated,6,4.3,71.62,4800115
Oakland,2327,6,1,Condo,1989,New,6,4.27,90.3,4450943
San Jose,2883,1,5,Condo,1965,New,7,6.14,90.01,1244580
Bakersfield,4513,3,1,Apartment,1955,Good,3,9.92,59.9,3320103
Fresno,2380,2,4,Villa,2017,New,1,6.08,63.51,1408758
Long Beach,4451,1,4,Independent House,2009,Needs Renovation,7,1.85,40.72,2948173
Anaheim,2262,3,2,Villa,1989,Recently Renovated,10,5.6,28.61,2554230
San Francisco,2127,5,4,Villa,1964,New,1,1.77,8.82,1422018
Fresno,3840,3,1,Condo,1969,Recently Renovated,10,6.99,27.29,929610
Long Beach,1853,4,5,Villa,1960,Needs Renovation,5,6.87,6.82,190701
Fresno,2052,6,5,Apartment,1953,Needs Renovation,3,1.15,82.78,1338333
Los Angeles,533,6,2,Condo,1983,Good,3,1.42,29.21,2891127
Long Beach,4428,5,5,Condo,1952,New,2,8.42,51.15,2559431
Sacramento,847,1,5,Apartment,1996,Needs Renovation,3,5.73,45.35,3014484
San Jose,3073,2,4,Independent House,1951,Needs Renovation,9,6.14,19.4,1768383
Anaheim,2610,5,3,Apartment,1986,Good,3,4.51,40.99,4784322
Anaheim,3674,6,1,Independent House,1991,Needs Renovation,7,1.82,70.96,426435
Los Angeles,2560,1,2,Apartment,1979,Good,5,2.35,53.45,3779553
Sacramento,4531,1,1,Townhouse,2008,Recently Renovated,6,4.78,19.6,2327496
Los Angeles,1982,5,1,Independent House,1984,Good,3,6.0,8.18,1608911
San Francisco,3918,5,2,Apartment,1951,Recently Renovated,3,5.57,69.85,3427847
Fresno,1701,4,5,Townhouse,1998,New,5,9.94,47.67,276494
Fresno,4973,5,1,Apartment,2023,Needs Renovation,3,8.39,7.46,4592544
Anaheim,3280,1,5,Condo,1982,Needs Renovation,3,4.46,38.72,221970
Long Beach,1346,5,1,Apartment,2017,Good,1,8.92,70.01,1066329
Bakersfield,787,5,3,Independent House,1993,Recently Renovated,2,2.78,37.79,3728863
Oakland,2260,3,1,Independent House,1970,Good,9,5.18,2.19,806382
San Jose,4276,4,3,Townhouse,1985,Good,3,2.5,18.4,2803519
Sacramento,1756,2,4,Villa,1972,Recently Renovated,8,3.01,47.41,3568524
Anaheim,4173,3,2,Independent House,1998,Good,1,9.01,21.12,2067426
Los Angeles,3380,4,5,Apartment,1981,Needs Renovation,10,9.93,53.55,1560837
Los Angeles,4206,2,4,Townhouse,1987,Needs Renovation,2,5.83,56.17,1562604
Fresno,4235,2,1,Villa,2016,New,10,1.92,92.49,4567147
Long Beach,2670,6,2,Independent House,1981,New,8,8.21,99.22,3563326
Anaheim,2738,2,2,Apartment,2013,New,8,5.62,46.73,1409822
San Diego,3288,6,4,Villa,2011,Needs Renovation,10,2.99,50.62,2236191
Oakland,2138,5,4,Apartment,2010,New,10,7.38,7.97,1899719
Long Beach,3052,5,4,Condo,2007,New,7,7.32,58.6,4755741
San Diego,3988,2,1,Condo,1974,New,6,8.78,75.26,4832913
Sacramento,1614,5,2,Condo,1951,Needs Renovation,7,7.71,51.19,4999096
Los Angeles,2363,4,1,Apartment,2000,Needs Renovation,2,2.09,63.86,2227711
Sacramento,722,3,2,Condo,2005,Recently Renovated,6,9.94,68.23,4490570
Los Angeles,4083,3,1,Townhouse,1967,Needs Renovation,10,7.81,36.18,1066226
San Francisco,2960,5,1,Villa,1978,Recently Renovated,7,4.22,27.77,3435118
Oakland,1479,2,3,Villa,1998,New,8,1.01,20.53,3993612
Bakersfield,3120,6,1,Villa,2007,Recently Renovated,2,4.2,35.68,2031498
Sacramento,4097,2,4,Townhouse,2005,Good,7,4.37,94.63,4967261
Long Beach,2111,1,1,Condo,2018,Needs Renovation,6,6.67,89.92,3196057
Anaheim,2465,2,2,Apartment,1973,Needs Renovation,3,4.35,30.51,605126
San Diego,837,1,1,Townhouse,2020,Recently Renovated,4,2.4,96.33,2396956
Oakland,3876,5,3,Villa,2022,Needs Renovation,9,3.6,19.46,548061
